NAME,DATE,TMAX,TMIN,MONTH
"SLAPTON, UK",2023-01-12,54.0,48.0,1
"SLAPTON, UK",2023-01-13,54.0,43.0,1
"SLAPTON, UK",2023-01-14,48.0,41.0,1
"SLAPTON, UK",2023-01-15,46.0,39.0,1
"SLAPTON, UK",2023-01-16,38.0,36.0,1
"SLAPTON, UK",2023-01-17,44.0,34.0,1
"SLAPTON, UK",2023-01-18,44.0,28.0,1
"SLAPTON, UK",2023-01-19,48.0,28.0,1
"SLAPTON, UK",2023-01-20,45.0,30.0,1
"SLAPTON, UK",2023-01-21,45.0,31.0,1
"SLAPTON, UK",2023-01-22,47.0,35.0,1
"SLAPTON, UK",2023-01-23,41.0,35.0,1
"SLAPTON, UK",2023-01-24,43.0,33.0,1
"SLAPTON, UK",2023-01-25,47.0,27.0,1
"SLAPTON, UK",2023-01-26,44.0,35.0,1
"SLAPTON, UK",2023-01-27,43.0,40.0,1
"SLAPTON, UK",2023-01-28,49.0,34.0,1
"SLAPTON, UK",2023-01-29,51.0,34.0,1
"SLAPTON, UK",2023-01-30,48.0,38.0,1
"SLAPTON, UK",2023-01-31,50.0,36.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-01,52.0,50.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-02,54.0,37.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-03,54.0,37.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-04,54.0,51.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-05,53.0,51.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-06,53.0,45.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-07,49.0,49.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-08,53.0,45.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-09,54.0,43.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-10,53.0,43.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-11,52.0,45.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-12,53.0,49.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-13,53.0,44.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-14,47.0,45.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-15,45.0,38.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-16,41.0,37.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-17,44.0,34.0,1
